course,fin,runner,odds,tips,,,,,,,,,,
Mornington,1,Rue De La Vie,6,3 Pull The Ripcord (100),,,,,,,,,,
Mornington,2,Pull The Ripcord,,7 Rue De La Vie (99),,,,,,,,,,
Mornington,3,Street Talent,,5 Total Chaos (nz) (95),,,,,,,,,,
Mornington,4,Cantation,,1 Captain Cornelius (93),,,,,,,,,,
Mornington,1,Fastnet Isle,2.8,1 Fastnet Isle (100),,,,,,,,,,
Mornington,2,Dornale,,4 Tequila At Midnite (nz) (98),,,,,,,,,,
Mornington,3,Kemtain,,2 Percy Henry (nz) (98),,,,,,,,,,
Mornington,4,Barachino,,9 Dornale (95),,,,,,,,,,
Mornington,1,Beleura Belle,2.4,9 Beleura Belle (100),,,,,,,,,,
Mornington,2,Chasson,,3 Volcan De Fuego (nz) (99),,,,,,,,,,
Mornington,3,Volcan De Fuego,,6 Liking The Viking (96),,,,,,,,,,
Mornington,4,Liking The Viking,,4 Chasson (96),,,,,,,,,,
Mornington,1,Keep Courting,4.2,4 Keep Courting (100),,,,,,,,,,
Mornington,2,Isabeli,,1 Altamira (99),,,,,,,,,,
Mornington,3,Antonia,,5 Luck Be My Lady (95),,,,,,,,,,
Mornington,4,Altamira,,,,,,,,,,,,
Mornington,1,Flinnec,6.3,11 Flinnec (100),,,,,,,,,,
Mornington,2,Crafty Eva,,5 Sound The Trumpet (nz) (100),,,,,,,,,,
Mornington,3,Silk Sheets,,8 Crafty Eva (97),,,,,,,,,,
Mornington,4,Sound The Trumpet,,12 Silk Sheets (96),,,,,,,,,,
Mornington,1,Jackthegiantslayer,5.6,2 Jackthegiantslayer (100),,,,,,,,,,
Mornington,2,Riyadh,,5 Royal Archie (98),,,,,,,,,,
Mornington,3,Royal Archie,,6 Cheval Du Jour (94),,,,,,,,,,
Mornington,4,Letter From Paris,,12 Pinski Belle (94),,,,,,,,,,
Mornington,1,Intrigo,3.8,4 Eagles Dare (100),,,,,,,,,,
Mornington,2,Eagles Dare,,10 Intrigo (100),,,,,,,,,,
Mornington,3,Cerutty,,1 Candeo (99),,,,,,,,,,
Mornington,4,Candeo,,9 Gottakeepthefaith (99),,,,,,,,,,
Mornington,1,Rockets Red Glare,4.6,5 Rockets Red Glare (100),,,,,,,,,,
Mornington,2,Shemai,,7 Super Bryan (99),,,,,,,,,,
Mornington,3,Motific,,8 Trench Fighter (97),,,,,,,,,,
Mornington,4,Birds Of Tokyo,,9 Birds Of Tokyo (97),,,,,,,,,,
Muswellbrook,1,Gone Viral,2.1,1 Gone Viral (100),x,,,,,,,,,
Muswellbrook,2,Zadok The Priest,,3 Street Patrol (97),,,,,,,,,,
Muswellbrook,3,Street Patrol,,9 Nic City (96),,,,,,,,,,
Muswellbrook,4,Nic City,,10 Zadok The Priest (96),,,,,,,,,,
Muswellbrook,1,Lucky Vision,10.4,12 Trades Hall (100),,,,,,,,,,
Muswellbrook,2,Addy Baby,,4 Negroni (99),,,,,,,,,,
Muswellbrook,3,Brobak,,10 Luckier (99),,,,,,,,,,
Muswellbrook,3,Negroni,,1 Brobak (96),,,,,,,,,,
Muswellbrook,1,Peregrine,6,5 Peregrine (100),x,,,,,,,,,
Muswellbrook,2,Queen Elektra,,8 Time Flies (98),,,,,,,,,,
Muswellbrook,3,Time Flies,,11 Queen Elektra (97),,,,,,,,,,
Muswellbrook,4,Powercraft,,6 Powercraft (nz) (96),,,,,,,,,,
Muswellbrook,1,The Bohemian,5.4,9 Tale Of Dreams (100),,,,,,,,,,
Muswellbrook,2,Ready Street,,7 The Bohemian (99),,,,,,,,,,
Muswellbrook,3,Tale Of Dreams,,10 Shotgun Roulette (98),,,,,,,,,,
Muswellbrook,4,Stirling Shadow,,4 Ready Street (96),,,,,,,,,,
Muswellbrook,1,Miss Le Nord,10.6,2 Source Of Harmony (100),,,,,,,,,,
Muswellbrook,2,Independent Air,,6 Messiah's Jewel (100),,,,,,,,,,
Muswellbrook,3,Artistic Beauty,,8 Ice Chiller (99),,,,,,,,,,
Muswellbrook,4,Source Of Harmony,,5 Artistic Beauty (99),,,,,,,,,,
Muswellbrook,1,Lasszou,3.9,3 Kate's Pearl (100),,,,,,,,,,
Muswellbrook,2,Lonfino,,12 Lasszou (100),,,,,,,,,,
Muswellbrook,3,Queen's Crown,,1 Lonfino (99),,,,,,,,,,
Muswellbrook,4,Queen Of Oz,,9 Queen Of Oz (99),,,,,,,,,,
Muswellbrook,1,Who Is Game,5.4,5 Monarch's Reign (100),,,,,,,,,,
Muswellbrook,2,The Explorer,,4 La Grande (98),,,,,,,,,,
Muswellbrook,3,Marmaduke's Lady,,2 Marmaduke's Lady (97),,,,,,,,,,
Muswellbrook,4,Sculptures,,7 Sculptures (97),,,,,,,,,,
Muswellbrook,1,I'lltellyousoon,6,1 I'lltellyousoon (100),x,,,,,,,,,
Muswellbrook,2,Professor Marx,,3 De La Hoya (97),,,,,,,,,,
Muswellbrook,3,Intrepido,,2 Professor Marx (97),,,,,,,,,,
Muswellbrook,4,Hashtag Noidea,,4 Leavesden (96),,,,,,,,,,
